,URL
3,https://www.gokennebunks.com/pages/members/covid-19-resources-for-businesses
6,https://www.ajmc.com/focus-of-the-week/covid19-risk-demonstrates-importance-of-keeping-diabetes-under-control-
14,https://whtt.podbean.com/e/the-money-war-and-the-covid-19-virus-crisis/
25,https://www.vox.com/world/2020/3/27/21196246/coronavirus-germany-death-rate-covid-19-cases-italy-europe
28,https://abc30.com/business/farmersville-marijuana-dispensary-staying-open-during-covid-19-outbreak/6048152/
38,https://alternativeafrica.com/2020/03/28/afdb-raises-record-breaking-3-billion-to-help-africa-alleviate-economic-social-impact-of-covid-19-pandemic/
46,https://artvoice.com/2020/03/27/house-approval-of-third-covid-19-emergency-package-here-are-the-details-of-money-disbursement-plan/
63,https://thelogic.co/news/special-report/breaking-down-ottawas-new-measures-to-help-small-businesses-with-covid-19/
72,https://cio.economictimes.indiatimes.com/news/next-gen-technologies/how-aster-dm-is-using-ai-to-amplify-healthcare-to-combat-covid-19/74839367
77,https://community.shopify.com/c/forums/filteredbylabelpage/board-id/payments-shipping-fulfilment/label-name/covid-19
130,https://ghanaonlinenews.com/hotels-demonstrate-readiness-to-fight-covid-19-in-takoradi/
151,https://internationalschoolsreviewdiscuss.wordpress.com/2020/03/26/your-job-in-the-shadow-of-covid-19/
158,https://jdcorporateblog.com/vox-important-role-of-jds-supply-chain-in-covid-19-fight/
161,https://money.stackexchange.com/questions/122122/how-or-should-i-repay-debt-during-covid-19
183,https://loyaltytraveler.boardingarea.com/2020/03/17/when-has-arrived-impact-of-covid-19-in-hotel-data/
195,https://meconstructionnews.com/40059/coronavirus-asgc-outlines-steps-taken-to-limit-impact-of-covid-19
197,https://thecolumbuspage.com/covid-19-resources-for-businesses/
205,https://mobecls.com/covid-19-putting-money-in-ecommerce-effectively/
212,https://msbusiness.com/2020/03/mississippis-home-sales-aided-by-shrinking-inventory-amid-covid-19-crisis/
219,https://www.networkworld.com/article/3534037/rolling-update-the-impact-of-covid-19-on-public-networks-and-security
221,https://sa.kapamilya.com/absnews/abscbnnews/media/2020/business/03/25/20200317-covid-lockdown-fsj-9303-
249,https://purefinancial.com/learning-center/blog/covid-19-response/
254,https://realty.economictimes.indiatimes.com/news/industry/covid-19-may-worsen-woes-of-residential-real-estate-sector-icra/74857232
296,https://tubagbohol.mikeligalig.com/press-release/loan-payment-extension-urged-due-to-covid-19/msg662596/
301,https://urbanmilwaukee.com/2020/03/26/milwaukee-metro-area-ranks-6th-nationally-for-covid-19-case-rate/
302,https://virginiajim.wordpress.com/2020/03/20/media-mining-digest-435-acid-rain-bitcoin-uses-boarder-wall-with-mexico-cephalopods-chinese-ai-impact-covid-19-conversations-crime-analysis-data-breaches-forensics-data-breaches-in-healthcare/
317,https://wtmarketing.com/blog/how-to-pivot-your-business-in-the-time-of-covid-19/
327,https://www.ageofautism.com/2020/03/while-world-panics-over-covid-19-cdcs-official-autism-rate-rises-10-from-2006-to-2008-birth-years-1
328,https://www.airlineratings.com/news/us-airlines-still-waiting-for-crucial-covid-19-stimulus-package/
334,https://www.apexmagnets.com/news-how-tos/covid-19-essential-business-update/
407,https://actualidad.rt.com/video/347714-covid-19-provoca-graves-danos-economicos-todo-mundo
415,https://www.fbm.com/publications/litigation-management-checklist-in-the-time-of-covid-19/
444,https://www.hawaiibusiness.com/covid-19-ficoh/
468,https://resources.jdsupra.com/allposts/lawyers-and-law-firms-be-strategic-about-your-covid-19-guidance-insights-commentary
482,https://www.ktnv.com/covid19impact
490,https://www.lewrockwell.com/lrc-blog/thomas-massie-on-why-he-fought-for-recorded-vote-on-2-trillion-covid-19-stimulus-3-27-20/
526,https://www.northernvirginiamag.com/food/food-news/2020/03/20/local-restaurant-owners-share-how-covid-19-is-affecting-business/
542,https://www.positivelyosceola.com/heres-a-list-of-highlights-of-2-2-trillion-economic-stimulus-package-to-aid-u-s-in-covid-19-recovery/
553,https://rlc.randstadusa.com/for-business/covid-19
577,https://www.snopes.com/fact-check/nostradamus-covid-19/
582,https://www.southernstandard.com/tennessee-covid-19-updates/trump-signs-22t-stimulus-after-swift-congressional-votes/
625,https://www.youredm.com/2020/03/27/pasquale-rotella-pauses-edc-layaway-autopayments-during-covid-19-in-deleted-tweet/
630,https://wzakcleveland.com/3921190/benedict-college-staff-raised-money-to-get-over-100-struggling-students-home-amid-covid-19-outbreak/
631,https://business.nikkei.com/covid19/
658,https://www.financialexpress.com/lifestyle/health/pune-start-up-makes-affordable-accessible-covid-19-test-kit/1908524/
659,https://www.anna.aero/2020/03/25/consultants-corner-covid-19-and-the-impact-on-us-airlines/
680,https://content-na2.emarketer.com/podcast-how-covid-19-might-impact-ad-spending
683,https://babylonradio.com/paying-attention-to-relaxation-best-secrets-to-meditate-under-covid-19/
690,https://www.wendyslookbook.com/2020/03/covid-19-small-business-grants/
713,https://cmrconstruction.com/business-update-to-coronavirus-covid-19/
714,https://cnnespanol2.files.wordpress.com/2020/03/200319183713-coronavirus-economia-impacto-finanzas-covid-mexico-imef-angel-garcia-perspectivas-mexico-cnne-entrevista-00000000-full-169-1
717,https://community.cisco.com/t5/cisco-cafe-blogs/supporting-business-continuity-during-the-covid-19-pandemic/ba-p/4045096
729,https://delawarebusinesstimes.com/news/malls-casinos-covid19/
740,https://economicconfidential.com/2020/03/cbn-dangote-n120bn-covid19-fund/
748,https://elpeatonve.wordpress.com/2020/03/25/presidente-maduro-estrategia-contra-covid-19-mantiene-plana-curva-de-expansion/
750,https://employmentrightsireland.com/the-emergency-measures-in-the-public-interest-covid-19-act-2020-important-employment-law-changes/
